date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:13:13	89521/89521	---M-Z	200	added ('OK')	application/javascript	etag:%2215db1-5fcd6877efa80-gzip%22	https://caketheme.com/html/mojuri/libs/jquery/js/jquery.min.js	E:/jwellery/caketheme.com/html/mojuri/libs/jquery/js/jquery.min.js	(from https://caketheme.com/html/mojuri/)
12:13:14	48902/48902	---M-Z	200	added ('OK')	application/javascript	etag:%22bf06-5fcd686a95b00-gzip%22	https://caketheme.com/html/mojuri/libs/bootstrap/js/bootstrap.min.js	E:/jwellery/caketheme.com/html/mojuri/libs/bootstrap/js/bootstrap.min.js	(from https://caketheme.com/html/mojuri/)
12:13:14	42863/42863	---M-Z	200	added ('OK')	application/javascript	etag:%22a76f-5fcd686c7df80-gzip%22	https://caketheme.com/html/mojuri/libs/slick/js/slick.min.js	E:/jwellery/caketheme.com/html/mojuri/libs/slick/js/slick.min.js	(from https://caketheme.com/html/mojuri/)
12:13:14	61622/61622	---M-Z	200	added ('OK')	application/javascript	etag:%22f0b6-5fcd688731e80-gzip%22	https://caketheme.com/html/mojuri/libs/mmenu/js/jquery.mmenu.all.min.js	E:/jwellery/caketheme.com/html/mojuri/libs/mmenu/js/jquery.mmenu.all.min.js	(from https://caketheme.com/html/mojuri/)
12:13:15	35662/35662	---M-Z	200	added ('OK')	application/javascript	etag:%228b4e-5fcd69fc14e40-gzip%22	https://caketheme.com/html/mojuri/assets/js/app.js	E:/jwellery/caketheme.com/html/mojuri/assets/js/app.js	(from https://caketheme.com/html/mojuri/)
12:13:16	65112/65112	---M--	200	added ('OK')	font/ttf	etag:%22fe58-5fcd68826d340%22	https://caketheme.com/html/mojuri/libs/feather-font/fonts/feather.ttf?sdxovp	E:/jwellery/caketheme.com/html/mojuri/libs/feather-font/fonts/feather144f.ttf	(from https://caketheme.com/html/mojuri/libs/feather-font/css/iconfont.css)
12:13:16	65188/65188	---M--	200	added ('OK')	font/woff	etag:%22fea4-5fcd688361580%22	https://caketheme.com/html/mojuri/libs/feather-font/fonts/feather.woff?sdxovp	E:/jwellery/caketheme.com/html/mojuri/libs/feather-font/fonts/feather144f.woff	(from https://caketheme.com/html/mojuri/libs/feather-font/css/iconfont.css)
12:13:16	10284/10284	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%22282c-5fcd687da8800%22	https://caketheme.com/html/mojuri/libs/icomoon-font/fonts/icomoon.eot?fzv6fp	E:/jwellery/caketheme.com/html/mojuri/libs/icomoon-font/fonts/icomoon6dbe.eot	(from https://caketheme.com/html/mojuri/libs/icomoon-font/css/icomoon.css)
12:13:17	5156/5156	---M--	200	added ('OK')	font/ttf	etag:%221424-5fcd687da8800%22	https://caketheme.com/html/mojuri/libs/icomoon-font/fonts/icomoon.ttf?fzv6fp	E:/jwellery/caketheme.com/html/mojuri/libs/icomoon-font/fonts/icomoon6dbe.ttf	(from https://caketheme.com/html/mojuri/libs/icomoon-font/css/icomoon.css)
12:13:17	222023/222023	---M--	200	added ('OK')	image/svg+xml	etag:%2236347-5fcd688361580%22	https://caketheme.com/html/mojuri/libs/feather-font/fonts/feather.svg?sdxovp	E:/jwellery/caketheme.com/html/mojuri/libs/feather-font/fonts/feather144f.svg	(from https://caketheme.com/html/mojuri/libs/feather-font/css/iconfont.css)
